"variable","year","value"
"Malays",1996,2.52
"Net_Reproduction_Rate",1996,0.79
"Resident_Live_Births",1996,46707
"Total_Fertility_Rate_TFR",1996,1.66
"Total_Live_Births",1996,48577
"15_19_Years",1997,6.8
"20_24_Years",1997,42
"25_29_Years",1997,116.9
"30_34_Years",1997,107.3
"35_39_Years",1997,41.7
"40_44_Years",1997,7
"45_49_Years",1997,0.2
"Chinese",1997,1.44
"Citizen_Live_Births",1997,43014
"Crude_Birth_Rate",1997,14.5
"Gross_Reproduction_Rate",1997,0.77
"Indians",1997,1.71
"Malays",1997,2.47
"Net_Reproduction_Rate",1997,0.77
"Resident_Live_Births",1997,45356
"Total_Fertility_Rate_TFR",1997,1.61
"Total_Live_Births",1997,47333
"15_19_Years",1998,7.5
"20_24_Years",1998,39.7
"25_29_Years",1998,105.2
"30_34_Years",1998,96.1
"35_39_Years",1998,39.8
"40_44_Years",1998,6.6
"45_49_Years",1998,0.2
"Chinese",1998,1.27
"Citizen_Live_Births",1998,39214
"Crude_Birth_Rate",1998,13.1
"Gross_Reproduction_Rate",1998,0.72
"Indians",1998,1.68
"Malays",1998,2.48
"Net_Reproduction_Rate",1998,0.71
"Resident_Live_Births",1998,41636
"Total_Fertility_Rate_TFR",1998,1.48
"Total_Live_Births",1998,43664
"15_19_Years",1999,8.4
"20_24_Years",1999,37.3
"25_29_Years",1999,105.1
"30_34_Years",1999,97.5
"35_39_Years",1999,38.6
"40_44_Years",1999,6.4
"45_49_Years",1999,0.2
"Chinese",1999,1.29
"Citizen_Live_Births",1999,38727
"Crude_Birth_Rate",1999,12.8
"Gross_Reproduction_Rate",1999,0.7
"Indians",1999,1.55
"Malays",1999,2.41
"Net_Reproduction_Rate",1999,0.7
"Resident_Live_Births",1999,41327
"Total_Fertility_Rate_TFR",1999,1.47
"Total_Live_Births",1999,43336
"15_19_Years",2000,8.8
"20_24_Years",2000,42.2
"25_29_Years",2000,110.1
"30_34_Years",2000,107.9
"35_39_Years",2000,43.3
"40_44_Years",2000,7.6
"45_49_Years",2000,0.2
"Chinese",2000,1.43
"Citizen_Live_Births",2000,41617
"Crude_Birth_Rate",2000,13.7
"Gross_Reproduction_Rate",2000,0.77
"Indians",2000,1.59
"Malays",2000,2.54
"Net_Reproduction_Rate",2000,0.76
"Resident_Live_Births",2000,44765
"Total_Fertility_Rate_TFR",2000,1.6
"Total_Live_Births",2000,46997
"15_19_Years",2001,8.4
"20_24_Years",2001,35.7
"25_29_Years",2001,96.2
"30_34_Years",2001,94.9
"35_39_Years",2001,39.5
"40_44_Years",2001,6.8
"45_49_Years",2001,0.2
"Chinese",2001,1.21
"Citizen_Live_Births",2001,36402
"Crude_Birth_Rate",2001,11.8
"Gross_Reproduction_Rate",2001,0.68
"Indians",2001,1.51
"Malays",2001,2.45
"Net_Reproduction_Rate",2001,0.67
"Resident_Live_Births",2001,39281
"Total_Fertility_Rate_TFR",2001,1.41
"Total_Live_Births",2001,41451
"15_19_Years",2002,8
"20_24_Years",2002,34.6
"25_29_Years",2002,91.6
"30_34_Years",2002,96.2
"35_39_Years",2002,38.2
"40_44_Years",2002,5.8
"45_49_Years",2002,0.2
"Chinese",2002,1.19
"Citizen_Live_Births",2002,35337
"Crude_Birth_Rate",2002,11.4
"Gross_Reproduction_Rate",2002,0.67
"Indians",2002,1.51
"Malays",2002,2.3
"Net_Reproduction_Rate",2002,0.66
"Resident_Live_Births",2002,38555
"Total_Fertility_Rate_TFR",2002,1.37
"Total_Live_Births",2002,40760
"15_19_Years",2003,6.7
"20_24_Years",2003,32.4
"25_29_Years",2003,82.2
"30_34_Years",2003,90
"35_39_Years",2003,36.3
"40_44_Years",2003,6.1
"45_49_Years",2003,0.2
"Chinese",2003,1.09
"Citizen_Live_Births",2003,32294
"Crude_Birth_Rate",2003,10.5
"Gross_Reproduction_Rate",2003,0.62
"Indians",2003,1.39
"Malays",2003,2.1
"Net_Reproduction_Rate",2003,0.61
"Resident_Live_Births",2003,35474
"Total_Fertility_Rate_TFR",2003,1.27
"Total_Live_Births",2003,37485
"15_19_Years",2004,6.6
"20_24_Years",2004,32.2
"25_29_Years",2004,80.6
"30_34_Years",2004,89.9
"35_39_Years",2004,35.6
"40_44_Years",2004,6.3
"45_49_Years",2004,0.2
"Chinese",2004,1.09
"Citizen_Live_Births",2004,31694
"Crude_Birth_Rate",2004,10.3
"Gross_Reproduction_Rate",2004,0.61
"Indians",2004,1.34
"Malays",2004,2.07
"Net_Reproduction_Rate",2004,0.6
"Resident_Live_Births",2004,35135
"Total_Fertility_Rate_TFR",2004,1.26
"Total_Live_Births",2004,37174
"15_19_Years",2005,7.2
"20_24_Years",2005,32.5
"25_29_Years",2005,80.7
"30_34_Years",2005,89.2
"35_39_Years",2005,36.8
"40_44_Years",2005,6.2
"45_49_Years",2005,0.2
"Chinese",2005,1.1
"Citizen_Live_Births",2005,31706
"Crude_Birth_Rate",2005,10.2
"Gross_Reproduction_Rate",2005,0.61
"Indians",2005,1.29
"Malays",2005,2.03
"Net_Reproduction_Rate",2005,0.61
"Resident_Live_Births",2005,35528
"Total_Fertility_Rate_TFR",2005,1.26
"Total_Live_Births",2005,37492
"15_19_Years",2006,6.6
"20_24_Years",2006,30.6
"25_29_Years",2006,79.6
"30_34_Years",2006,93.1
"35_39_Years",2006,38.7
"40_44_Years",2006,6.4
"45_49_Years",2006,0.2
"Chinese",2006,1.11
"Citizen_Live_Births",2006,31956
"Crude_Birth_Rate",2006,10.3
"Gross_Reproduction_Rate",2006,0.62
"Indians",2006,1.27
"Malays",2006,2.02
"Net_Reproduction_Rate",2006,0.61
"Resident_Live_Births",2006,36272
"Total_Fertility_Rate_TFR",2006,1.28
"Total_Live_Births",2006,38317
"15_19_Years",2007,6.1
"20_24_Years",2007,31.2
"25_29_Years",2007,78.7
"30_34_Years",2007,94.4
"35_39_Years",2007,41.5
"40_44_Years",2007,6.4
"45_49_Years",2007,0.2
"Chinese",2007,1.14
"Citizen_Live_Births",2007,32361
"Crude_Birth_Rate",2007,10.3
"Gross_Reproduction_Rate",2007,0.62
"Indians",2007,1.25
"Malays",2007,1.94
"Net_Reproduction_Rate",2007,0.62
"Resident_Live_Births",2007,37074
"Total_Fertility_Rate_TFR",2007,1.29
"Total_Live_Births",2007,39490
"15_19_Years",2008,6.1
"20_24_Years",2008,29.1
"25_29_Years",2008,78.9
"30_34_Years",2008,94.6
"35_39_Years",2008,41.5
"40_44_Years",2008,6.6
"45_49_Years",2008,0.2
"Chinese",2008,1.14
"Citizen_Live_Births",2008,32423
"Crude_Birth_Rate",2008,10.2
"Gross_Reproduction_Rate",2008,0.62
"Indians",2008,1.19
"Malays",2008,1.91
"Net_Reproduction_Rate",2008,0.62
"Resident_Live_Births",2008,37277
"Total_Fertility_Rate_TFR",2008,1.28
"Total_Live_Births",2008,39826
"15_19_Years",2009,5
"20_24_Years",2009,25.4
"25_29_Years",2009,74.2
"30_34_Years",2009,90.1
"35_39_Years",2009,42.6
"40_44_Years",2009,7
"45_49_Years",2009,0.3
"Chinese",2009,1.08
"Citizen_Live_Births",2009,31842
"Crude_Birth_Rate",2009,9.9
"Gross_Reproduction_Rate",2009,0.59
"Indians",2009,1.14
"Malays",2009,1.82
"Net_Reproduction_Rate",2009,0.59
"Resident_Live_Births",2009,36925
"Total_Fertility_Rate_TFR",2009,1.22
"Total_Live_Births",2009,39570
"15_19_Years",2010,4.8
"20_24_Years",2010,23.3
"25_29_Years",2010,68.1
